project_id,sector,state,original_cost,revised_cost,planned_duration_months,project_age_months,physical_progress,financial_progress,milestones_total,milestones_delayed,land_acquisition_pending,clearance_pending,funding_issue,contractor_issue,previous_schedule_deviation,actual_delay_months,actual_outcome,primary_delay_cause
HIST-00001,Railways,Maharashtra,469.8,543.8,21,62,100.0,100.0,6,1,1,1,0,1,-5.1,9,9-month delay,Land acquisition
HIST-00002,Urban Transit,Madhya Pradesh,214.1,233.4,35,73,100.0,100.0,9,1,1,0,0,0,8.4,5,5-month delay,Land acquisition
HIST-00003,Railways,Tamil Nadu,183.6,189.9,12,63,83.3,93.9,4,1,0,0,0,0,6.7,0,Delivered within plan,No material delay
HIST-00004,Ports,Madhya Pradesh,71.6,78.3,63,74,100.0,100.0,13,2,1,0,0,0,2.6,8,8-month delay,Land acquisition
HIST-00005,Railways,Maharashtra,351.1,375.9,35,68,95.1,100.0,7,2,0,0,1,0,1.0,5,5-month delay,Milestone slippage
HIST-00006,Urban Transit,Uttar Pradesh,129.1,138.4,46,23,49.7,52.6,12,1,0,0,1,0,2.1,0,Delivered within plan,Funding release
HIST-00007,Urban Transit,Maharashtra,121.5,124.1,34,74,95.9,91.2,9,1,0,1,0,0,1.7,1,1-month delay,Pending clearance
HIST-00008,Water & Sanitation,West Bengal,225.6,244.5,31,76,95.0,100.0,8,2,0,0,1,0,3.0,1,1-month delay,Milestone slippage
HIST-00009,Airports,Tamil Nadu,310.7,317.0,62,52,87.7,100.0,15,1,0,0,0,0,4.0,1,1-month delay,No material delay
HIST-00010,Ports,Jharkhand,427.6,453.3,25,59,84.0,82.1,7,1,0,0,0,0,-4.2,0,Delivered within plan,No material delay
HIST-00011,Railways,West Bengal,219.6,252.1,69,12,23.2,25.8,17,3,0,1,0,1,12.4,7,7-month delay,Milestone slippage
HIST-00012,Railways,Bihar,183.3,194.6,55,55,99.1,93.3,15,1,1,0,0,0,3.8,0,Delivered within plan,Land acquisition
HIST-00013,Roads,Haryana,1050.1,1077.7,47,41,98.1,100.0,10,0,0,0,0,0,-0.7,0,Delivered within plan,No material delay
HIST-00014,Airports,Andhra Pradesh,1025.4,1044.5,36,49,100.0,79.0,5,0,0,0,0,0,0.8,0,Delivered within plan,No material delay
HIST-00015,Ports,Maharashtra,68.5,77.8,25,50,97.1,94.7,6,2,1,0,0,1,6.0,7,7-month delay,Land acquisition
HIST-00016,Urban Transit,Rajasthan,185.1,191.6,36,41,100.0,97.7,10,0,0,0,0,1,-5.5,2,2-month delay,No material delay
HIST-00017,Power,Jharkhand,283.1,290.0,57,18,32.6,42.5,13,0,0,0,0,0,3.0,1,1-month delay,No material delay
HIST-00018,Roads,Kerala,375.3,400.5,22,13,60.5,61.1,4,1,1,0,0,0,1.9,9,9-month delay,Land acquisition
HIST-00019,Urban Transit,Maharashtra,153.0,158.0,58,71,100.0,92.7,15,1,0,0,0,0,11.8,6,6-month delay,No material delay
HIST-00020,Ports,Kerala,100.9,103.2,30,53,100.0,100.0,12,0,0,1,0,1,-10.8,0,Delivered within plan,Pending clearance
HIST-00021,Urban Transit,Andhra Pradesh,149.2,152.8,39,22,44.6,45.2,12,0,0,0,0,0,1.0,1,1-month delay,No material delay
HIST-00022,Ports,Tamil Nadu,147.4,166.7,63,81,89.3,76.4,17,1,1,0,0,0,9.6,7,7-month delay,Land acquisition
HIST-00023,Roads,Gujarat,112.4,115.3,23,47,97.9,98.9,6,0,1,0,0,0,5.1,0,Delivered within plan,Land acquisition
HIST-00024,Roads,Uttar Pradesh,179.2,198.1,52,74,98.4,93.3,11,1,1,1,0,0,1.4,9,9-month delay,Land acquisition
HIST-00025,Water & Sanitation,Karnataka,320.2,351.6,22,72,100.0,100.0,9,2,1,1,0,0,-2.8,5,5-month delay,Land acquisition
HIST-00026,Roads,Uttar Pradesh,185.8,197.4,31,80,76.5,69.9,7,0,0,0,1,0,3.4,3,3-month delay,Funding release
HIST-00027,Roads,Jharkhand,35.2,36.6,30,47,100.0,100.0,6,0,1,0,0,0,-1.3,0,Delivered within plan,Land acquisition
HIST-00028,Urban Transit,Bihar,205.8,205.8,61,45,79.6,81.5,18,1,1,0,0,0,-5.3,1,1-month delay,Land acquisition
HIST-00029,Industrial Corridors,Odisha,265.9,277.8,38,35,96.9,95.1,11,1,0,0,0,0,-2.1,0,Delivered within plan,No material delay
HIST-00030,Roads,Odisha,175.4,183.9,43,52,100.0,100.0,10,1,1,0,0,0,0.1,7,7-month delay,Land acquisition
HIST-00031,Water & Sanitation,Kerala,139.4,151.4,39,83,100.0,100.0,8,2,0,0,1,0,1.4,5,5-month delay,Milestone slippage
HIST-00032,Power,Gujarat,199.3,220.3,24,17,78.1,70.4,4,2,0,0,0,0,14.4,4,4-month delay,Milestone slippage
HIST-00033,Industrial Corridors,Andhra Pradesh,127.4,132.1,47,31,68.5,74.9,8,1,0,0,0,1,-0.9,5,5-month delay,No material delay
HIST-00034,Roads,West Bengal,260.8,285.9,35,81,100.0,97.4,8,0,0,1,0,1,1.4,0,Delivered within plan,Pending clearance
HIST-00035,Roads,Odisha,453.2,463.4,19,29,87.3,86.9,6,1,1,0,0,0,-3.0,5,5-month delay,Land acquisition
HIST-00036,Ports,Telangana,223.1,240.0,36,11,8.4,0.0,10,1,0,0,1,0,9.3,5,5-month delay,Funding release
HIST-00037,Water & Sanitation,Odisha,192.3,198.2,41,68,97.0,100.0,8,1,0,0,0,0,1.9,0,Delivered within plan,No material delay
HIST-00038,Airports,Rajasthan,129.5,134.3,74,25,45.0,50.3,19,1,0,0,0,0,-12.0,0,Delivered within plan,No material delay
HIST-00039,Railways,Telangana,83.7,86.8,67,48,62.8,50.9,17,1,0,0,0,0,4.3,2,2-month delay,No material delay
