project_id,sector,state,original_cost,revised_cost,planned_duration_months,project_age_months,physical_progress,financial_progress,milestones_total,milestones_delayed,land_acquisition_pending,clearance_pending,funding_issue,contractor_issue,previous_schedule_deviation,is_delayed
PAI-00001,Railways,Kerala,286.4,287.7,38,21,53.9,58.4,8,1,0,0,0,0,-5.1,0
PAI-00002,Water & Sanitation,Uttar Pradesh,163.3,165.6,35,26,79.6,68.6,6,0,0,0,0,0,3.3,1
PAI-00003,Urban Transit,Bihar,507.9,518.3,22,9,31.6,38.6,5,0,0,0,0,0,-2.8,0
PAI-00004,Power,Bihar,133.3,138.1,34,32,96.5,91.5,10,1,0,0,0,0,5.8,0
PAI-00005,Power,Andhra Pradesh,306.7,319.4,47,81,100.0,92.0,12,0,0,0,0,1,-5.9,0
PAI-00006,Water & Sanitation,Haryana,94.7,96.6,44,21,47.9,47.1,9,1,1,0,0,0,-0.8,0
PAI-00007,Water & Sanitation,Madhya Pradesh,313.3,325.5,36,20,59.2,55.9,10,2,0,0,0,0,6.7,0
PAI-00008,Airports,Maharashtra,178.5,198.8,45,68,91.0,93.1,12,1,1,0,0,0,9.3,1
PAI-00009,Urban Transit,Tamil Nadu,793.7,929.8,45,46,100.0,77.0,8,1,1,0,0,1,4.4,1
PAI-00010,Railways,Kerala,719.2,770.4,57,59,100.0,67.1,12,2,0,1,0,0,10.8,1
PAI-00011,Urban Transit,Rajasthan,78.1,88.0,52,12,22.8,31.5,16,2,1,0,0,1,11.4,1
PAI-00012,Roads,Telangana,874.3,927.6,46,34,75.6,92.7,9,1,0,0,1,0,-3.4,0
PAI-00013,Railways,Jharkhand,243.7,249.3,28,42,93.8,100.0,5,1,0,0,0,0,-1.3,0
PAI-00014,Roads,Kerala,218.3,221.1,58,62,94.6,100.0,12,1,0,0,0,0,1.9,0
PAI-00015,Railways,Maharashtra,469.4,495.4,71,54,88.2,85.4,15,1,0,0,0,1,-2.7,0
PAI-00016,Ports,Maharashtra,141.0,147.5,52,26,45.5,52.1,12,1,0,0,0,0,2.8,0
PAI-00017,Water & Sanitation,Rajasthan,91.5,94.7,40,29,70.9,79.6,7,0,0,0,0,0,-0.2,0
PAI-00018,Power,Andhra Pradesh,498.0,513.7,18,65,99.5,97.1,4,1,0,0,0,0,3.5,0
